id,name,brand,variant,category,price_in_usd
0,Google Land & Sea Cotton Cap,Google,Single Option Only,Apparel,14
1,Google KeepCup,Google,Single Option Only,New,28
2,Google Land & Sea Nalgene Water Bottle,Google,Single Option Only,Drinkware,20
3,Google Unisex Eco Tee Black,Google, LG,Uncategorized Items,22
4,Google Chicago Campus Bottle,Google,Single Option Only,Campus Collection,11
5,Google SF Campus Zip Hoodie,Google, LG,Clearance,32
6,Google Chicago Campus Unisex Tee,Google, MD,Campus Collection,14
7,Google SF Campus Unisex Tee,Google, SM,Clearance,14
8,Super G Unisex Joggers,Google, LG,Shop by Brand,30
9,Mommy Works at Google Book,Google,Single Option Only,Small Goods,16
10,BLM Unisex Pullover Hoodie,Google, MD,Black Lives Matter,46
11,Google See-No Hear-No Set,Google,Single Option Only,Electronics Accessories,10
12,Google Sherpa Zip Hoodie Navy,Google, MD,Apparel,55
13,Super G Unisex Joggers,Google, SM,Shop by Brand,37
14,Google Campus Bike Bottle,Google,Single Option Only,Lifestyle,22
15,Google Sherpa Zip Hoodie Navy,Google, LG,Apparel,55
16,Google Crewneck Sweatshirt Green,Google, MD,Apparel,44
17,Google Mural Sticker Sheet,Google,Single Option Only,Small Goods,3
18,Google F/C Longsleeve Charcoal,Google, XS,Apparel,24
19,Google Speckled Beanie Navy,Google,Single Option Only,New,16
20,Google NYC Campus Sticker,Google,Single Option Only,Campus Collection,1
21,Google Campus Bike Tote Navy,Google,Single Option Only,Bags,9
22,Google Infant Charcoal Onesie,Google, 3/6 MONTHS,Apparel,20
23,Google Austin Campus Ladies Tee,Google, LG,Campus Collection,14
24,Google Austin Campus Bottle,Google,Single Option Only,Campus Collection,11
25,Google Crew Socks,Google,Single Option Only,Apparel,13
26,Google Clear Framed Blue Shades,Google,Single Option Only,Accessories,3
27,Google Sherpa Zip Hoodie Navy,Google, SM,Apparel,55
28,Google Sherpa Zip Hoodie Navy,Google, XL,Apparel,55
29,Google Zip Hoodie F/C,Google, MD,Apparel,48
30,Google Speckled Beanie Grey,Google,Single Option Only,New,16
31,Google Infant Hero Tee Olive,Google, 3/6 MONTHS,Apparel,14
32,Google Infant Charcoal Onesie,Google, 6/12 MONTHS,Apparel,20
33,Google Sunnyvale Campus Unisex Tee,Google, MD,Campus Collection,14
34,Super G Unisex Joggers,Google, MD,Shop by Brand,30
35,Google SF Campus Ladies Tee,Google, MD,Clearance,14
36,Womens Google Striped LS,Google, MD,Apparel,16
37,Google Unisex Eco Tee Black,Google, SM,Uncategorized Items,18
38,Google Unisex Eco Tee Black,Google, MD,Uncategorized Items,18
39,Google Sustainable Pencil Pouch,Google,Single Option Only,Clearance,8
40,Google Heathered Pom Beanie,Google,Single Option Only,New,12
41,Google Summer19 Crew Grey,Google, LG,Apparel,35
42,Google Women's Microfleece Jacket Black,Google, XL,Uncategorized Items,60
43,Google Recycled Writing Set,Google,Single Option Only,Clearance,3
44,Google Mural Bottle,Google,Single Option Only,Drinkware,19
45,Google SF Campus Bottle,Google,Single Option Only,Campus Collection,11
46,Google LA Campus Bottle,Google,Single Option Only,Campus Collection,11
47,Google Metallic Notebook Set,Google,Single Option Only,Office,5
48,Google Clear Pen 4-Pack,Google,Single Option Only,Office,3
49,Google Decal,Google,Single Option Only,Stationery,1
50,Google Stylus Pen w/ LED Light,Google,Single Option Only,Office,4
51,Google Crewneck Sweatshirt Green,Google, LG,Apparel,44
52,Google Cork Base Tumbler,Google,Single Option Only,New,22
53,Google Sherpa Zip Hoodie Navy,Google, XS,Apparel,55
54,Google Campus Bike Eco Tee Navy,Google, LG,Apparel,20
55,Google NYC Campus Mug,Google,Single Option Only,Campus Collection,7
56,Google Camp Mug Ivory,Google,Single Option Only,Drinkware,10
57,Google Tee Yellow,Google, XS,Clearance,9
