ga_session_id,user_id,country,device,session_start,session_end,events_count,add_to_cart_count,begin_checkout_count,purchase_count,converted,session_duration_seconds,session_revenue
0,7398,US,mobile,2020-12-28 14:44:00,2020-12-28 15:48:00,979,888,78,13,True,3840.0,112.0
1,18764,US,mobile,2020-12-23 13:13:00,2020-12-23 14:15:00,960,876,78,6,True,3720.0,355.0
2,26831,US,desktop,2020-12-15 21:46:00,2020-12-15 23:44:00,918,888,30,0,False,7080.0,0.0
3,31259,ID,mobile,2020-11-27 01:20:00,2020-11-27 02:29:00,904,828,57,19,True,4140.0,169.0
4,21761,BR,mobile,2020-12-27 19:34:00,2020-12-27 20:06:00,838,612,204,22,True,1920.0,149.0
5,18702,TH,desktop,2020-12-10 01:28:00,2020-12-10 02:36:00,799,726,64,9,True,4080.0,131.0
6,5644,CA,mobile,2021-01-18 09:33:00,2021-01-18 11:15:00,783,702,81,0,False,6120.0,0.0
7,25730,US,mobile,2020-12-10 21:22:00,2020-12-10 22:03:00,782,648,126,8,True,2460.0,142.0
8,22861,US,desktop,2020-12-11 17:28:00,2020-12-11 18:08:00,768,720,48,0,False,2400.0,0.0
9,108,CA,desktop,2020-11-30 17:24:00,2020-11-30 18:16:00,745,511,216,18,True,3120.0,298.0
10,9854,GB,desktop,2020-12-17 11:47:00,2020-12-17 12:22:00,744,744,0,0,False,2100.0,0.0
11,2303,CA,desktop,2020-12-13 21:36:00,2020-12-13 22:06:00,740,480,240,20,True,1800.0,219.0
12,13461,GB,desktop,2021-01-06 05:16:00,2021-01-06 06:02:00,734,685,42,7,True,2760.0,89.0
13,1298,US,desktop,2020-12-16 05:59:00,2020-12-16 06:50:00,733,528,180,25,True,3060.0,816.0
14,15152,US,desktop,2020-12-15 03:55:00,2020-12-15 04:38:00,731,696,28,7,True,2580.0,77.0
15,1569,US,desktop,2020-12-18 20:24:00,2020-12-18 21:28:00,725,528,159,38,True,3840.0,752.0
16,19299,CA,mobile,2020-12-11 20:56:00,2020-12-11 21:51:00,721,721,0,0,False,3300.0,0.0
17,1296,US,mobile,2020-12-11 02:39:00,2020-12-11 03:08:00,666,600,44,22,True,1740.0,216.0
18,14362,US,mobile,2020-12-18 23:17:00,2020-12-18 23:49:00,653,604,42,7,True,1920.0,65.0
19,5644,CA,mobile,2021-01-20 15:49:00,2021-01-20 17:16:00,645,372,252,21,True,5220.0,138.0
20,8475,CA,desktop,2020-12-22 01:56:00,2020-12-22 02:36:00,644,444,177,23,True,2400.0,165.0
21,28759,CN,desktop,2020-12-18 05:02:00,2020-12-18 05:25:00,641,641,0,0,False,1380.0,0.0
22,18240,AT,mobile,2020-11-26 11:44:00,2020-11-26 12:50:00,636,636,0,0,False,3960.0,0.0
23,18044,MX,mobile,2020-11-30 17:07:00,2020-11-30 17:50:00,632,611,14,7,True,2580.0,84.0
24,21966,IT,desktop,2021-01-24 07:13:00,2021-01-24 07:36:00,624,624,0,0,False,1380.0,0.0
25,8459,US,desktop,2020-12-17 06:25:00,2020-12-17 07:03:00,623,528,76,19,True,2280.0,156.0
26,6860,PS,tablet,2021-01-12 10:58:00,2021-01-12 11:29:00,579,552,21,6,True,1860.0,88.0
27,13001,ES,desktop,2020-12-21 18:20:00,2020-12-21 19:11:00,578,485,93,0,False,3060.0,0.0
28,20040,NL,mobile,2020-12-18 19:25:00,2020-12-18 20:12:00,574,418,144,12,True,2820.0,187.0
29,7428,US,desktop,2020-12-28 18:03:00,2020-12-28 18:38:00,572,564,6,2,True,2100.0,113.0
30,30997,US,desktop,2020-12-25 05:24:00,2020-12-25 05:43:00,567,552,15,0,False,1140.0,0.0
31,18907,US,mobile,2020-12-05 19:35:00,2020-12-05 20:07:00,547,462,68,17,True,1920.0,211.0
32,9074,CA,mobile,2021-01-11 18:41:00,2021-01-11 19:52:00,542,427,111,4,True,4260.0,69.0
33,20347,MA,desktop,2020-12-31 11:39:00,2020-12-31 13:06:00,532,532,0,0,False,5220.0,0.0
34,7729,US,desktop,2020-12-08 22:33:00,2020-12-08 23:10:00,528,528,0,0,False,2220.0,0.0
35,30375,US,desktop,2020-12-26 03:15:00,2020-12-26 03:58:00,523,505,18,0,False,2580.0,0.0
36,11816,US,desktop,2020-11-28 10:30:00,2020-11-28 11:19:00,518,492,13,13,True,2940.0,217.0
37,8551,US,desktop,2020-12-11 01:46:00,2020-12-11 02:57:00,517,517,0,0,False,4260.0,0.0
38,4809,US,desktop,2020-12-19 02:57:00,2020-12-19 03:48:00,512,480,30,2,True,3060.0,38.0
